Pic Number,Tribe,Genus/Species,,,Tooth position,
2611,Alcelaphini,Connochaetes gnou,,,LM2,
2615,Alcelaphini,Connochaetes gnou,,,LM2,
2619,Alcelaphini,Connochaetes gnou,,,LM2,
2623,Alcelaphini,Connochaetes gnou,,,LM2,
2627,Alcelaphini,Connochaetes gnou,,,LM2,
,,,,,,
2717,Alcelaphini,Connochaetes taurinus,,,UM3,
2721,Alcelaphini,Connochaetes taurinus,,,UM3,
2725,Alcelaphini,Connochaetes taurinus,,,UM3,
2729L,Alcelaphini,Connochaetes taurinus,,,UM3,
2733,Alcelaphini,Connochaetes taurinus,,,UM3,
,,,,,,
2771,Alcelaphini,Connochaetes taurinus,,,LM2,
2775,Alcelaphini,Connochaetes taurinus,,,LM2,
2780,Alcelaphini,Connochaetes taurinus,,,LM2, 
2784,Alcelaphini,Connochaetes taurinus,,,LM2,
2788,Alcelaphini,Connochaetes taurinus,,,LM2,
,,,,,,
2869,Alcelaphini,Alcelaphus buselaphus,,,LM3,
2873,Alcelaphini,Alcelaphus buselaphus,,,LM3,
2877,Alcelaphini,Alcelaphus buselaphus,,,LM3,
2883,Alcelaphini,Alcelaphus buselaphus,,,LM3,
2887,Alcelaphini,Alcelaphus buselaphus,,,LM3,
,,,,,,
2870,Alcelaphini,Alcelaphus buselaphus,,,LM2,
2878,Alcelaphini,Alcelaphus buselaphus,,,LM2,
2888,Alcelaphini,Alcelaphus buselaphus,,,LM2,
2891,Alcelaphini,Alcelaphus buselaphus,,,LM2,
2895,Alcelaphini,Alcelaphus buselaphus,,,LM2,
,,,,,,
2896,Alcelaphini,Alcelaphus buselaphus,,,LM1,
2904,Alcelaphini,Alcelaphus buselaphus,,,LM1,
2908,Alcelaphini,Alcelaphus buselaphus,,,LM1,
,,,,,,
2957,Alcelaphini,Damaliscus dorcas,,,UM3,
2962,Alcelaphini,Damaliscus dorcas,,,UM3,
2966,Alcelaphini,Damaliscus dorcas,,,UM3,
2970,Alcelaphini,Damaliscus dorcas,,,UM3,
2974,Alcelaphini,Damaliscus dorcas,,,UM3,
,,,,,,
3018,Alcelaphini,Damaliscus dorcas,,,LM2,
3022L,Alcelaphini,Damaliscus dorcas,,,LM2,
3026,Alcelaphini,Damaliscus dorcas,,,LM2,
3030,Alcelaphini,Damaliscus dorcas,,,LM2,
3034,Alcelaphini,Damaliscus dorcas,,,LM2,
,,,,,,
3023L,Alcelaphini,Damaliscus dorcas,,,LM1,
3031,Alcelaphini,Damaliscus dorcas,,,LM1,
3035,Alcelaphini,Damaliscus dorcas,,,LM1,
3039,Alcelaphini,Damaliscus dorcas,,,LM1,
3043,Alcelaphini,Damaliscus dorcas,,,LM1,
,,,,,,
3665,Neotragini,Raphicerus campestris,,,LM3,
3669L,Neotragini,Raphicerus campestris,,,LM3,
3675,Neotragini,Raphicerus campestris,,,LM3,
3678,Neotragini,Raphicerus campestris,,,LM3,
3720,Neotragini,Raphicerus campestris,,,LM3,
,,,,,,
3666,Neotragini,Raphicerus campestris,,,LM2,
3670L,Neotragini,Raphicerus campestris,,,LM2,
3676,Neotragini,Raphicerus campestris,,,LM2,
3713,Neotragini,Raphicerus campestris,,,LM2,
3723,Neotragini,Raphicerus campestris,,,LM2,
,,,,,,
3767L,Neotragini,Pelea capreolus,,,LM3,
3776L,Neotragini,Pelea capreolus,,,LM3,
5687,Neotragini,Pelea capreolus,,,LM3,
5691,Neotragini,Pelea capreolus,,,LM3,
5695,Neotragini,Pelea capreolus,,,LM3,
,,,,,,
3768,Neotragini,Pelea capreolus,,,LM2,
3768L,Neotragini,Pelea capreolus,,,LM2,
3773,Neotragini,Pelea capreolus,,,LM2,
3777,Neotragini,Pelea capreolus,,,LM2,
3777L,Neotragini,Pelea capreolus,,,LM2,
,,,,,,
3798,Hippotragini,Oryx gazella,,,UM3,
3802,Hippotragini,Oryx gazella,,,UM3,
3806L,Hippotragini,Oryx gazella,,,UM3,
3810,Hippotragini,Oryx gazella,,,UM3,
3818,Hippotragini,Oryx gazella,,,UM3,
,,,,,,
3851,Hippotragini,Oryx gazella,,,LM2,
3855,Hippotragini,Oryx gazella,,,LM2,
3862,Hippotragini,Oryx gazella,,,LM2,
3866,Hippotragini,Oryx gazella,,,LM2,
3870,Hippotragini,Oryx gazella,,,LM2,
,,,,,,
3927,Hippotragini,Hippotragus niger,,,UM3,
3930,Hippotragini,Hippotragus niger,,,UM3,
3933,Hippotragini,Hippotragus niger,,,UM3,
3937L,Hippotragini,Hippotragus niger,,,UM3,
3940,Hippotragini,Hippotragus niger,,,UM3,
,,,,,,
3949,Hippotragini,Hippotragus niger,,,LM2,
5970,Hippotragini,Hippotragus niger,,,LM2,
5974,Hippotragini,Hippotragus niger,,,LM2,
5977,Hippotragini,Hippotragus niger,,,LM2,
5981L,Hippotragini,Hippotragus niger,,,LM2,
,,,,,,
3953,Hippotragini,Hippotragus equinus,,,UM2,
3958,Hippotragini,Hippotragus equinus,,,UM2,
3961,Hippotragini,Hippotragus equinus,,,UM2,
3967,Hippotragini,Hippotragus equinus,,,UM2,
5768,Hippotragini,Hippotragus equinus,,,UM2,
,,,,,,
3973,Hippotragini,Hippotragus equinus,,,LM2,
3979L,Hippotragini,Hippotragus equinus,,,LM2,
5809,Hippotragini,Hippotragus equinus,,,LM2,
5813,Hippotragini,Hippotragus equinus,,,LM2,
5817,Hippotragini,Hippotragus equinus,,,LM2,
,,,,,,
4004,Bovini,Syncerus cafer,,,UM3,
4008,Bovini,Syncerus cafer,,,UM3,
4012,Bovini,Syncerus cafer,,,UM3,
4016,Bovini,Syncerus cafer,,,UM3,
4018,Bovini,Syncerus cafer,,,UM3,
,,,,,,
4040,Bovini,Syncerus cafer,,,LM3,
4045,Bovini,Syncerus cafer,,,LM3,
4493,Bovini,Syncerus cafer,,,LM3,
4497,Bovini,Syncerus cafer,,,LM3,
4502,Bovini,Syncerus cafer,,,LM3,
,,,,,,
5978,Hippotragini,Hippotragus niger,,,LM1,
5982L,Hippotragini,Hippotragus niger,,,LM1,
5986,Hippotragini,Hippotragus niger,,,LM1,
5990,Hippotragini,Hippotragus niger,,,LM1,
5998,Hippotragini,Hippotragus niger,,,LM1,
